movie_display_name,movie_production_year,movie_odid,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name,movie_sequel,movie_running_time
Housefull,2010,137710100,10100000,1183658,17542642,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,
Le Fabuleux destin d'Amélie Poulain,2001,17070100,10350000,33201661,141000000,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
In the Land of Women,2007,35540100,10500000,11052958,3087444,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
The Last Days on Mars,2013,197330100,10600000,24084,237280,2013-01-01,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,98
Darkness,2002,23550100,10600000,22163442,12245764,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,88
Kabhi Alvida Naa Kehna,2006,51280100,10750000,3275443,29300000,2006-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Saw V,2008,9370100,10800000,56746769,61463009,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,
Les Intouchables,2011,164220100,10800000,13182281,471690764,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,110
Jindabyne,2007,69130100,10800000,399879,2462665,2007-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Kinsey,2004,36860100,11000000,10214647,2786312,2004-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,118
If I Stay,2014,146900100,11000000,50474843,28400000,2014-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,106
Woman in Gold,2014,220190100,11000000,33307793,23450345,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,107
The Fighter,2010,108640100,11000000,93617009,35645379,2010-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,115
Corky Romano,2001,22270100,11000000,23978402,1137701,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,86
The Secret Life of Bees,2008,14980100,11000000,37770162,2213861,2008-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,110
Vera Drake,2004,49910100,11000000,3753806,9600049,2004-01-01,Historical Fiction,Original Screenplay,Live Action,Drama,0,
The Gospel of John,2003,48900100,11000000,4068087,166268,2003-01-01,Dramatization,Based on Religious Text,Live Action,Drama,0,
Quartet,2011,144180100,11000000,18388357,37790578,2011-01-01,Contemporary Fiction,Based on Play,Live Action,Comedy,0,99
Phone Booth,2003,11960100,11000000,46566212,51270926,2003-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Le prénom,2012,184450100,11000000,61611,25245794,2012-01-01,Contemporary Fiction,Original Screenplay,Live Action,,0,0
A Walk to Remember,2002,13530100,11000000,41227069,4833846,2002-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Frailty,2002,32680100,11000000,13110448,6836832,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Out Cold,2001,31800100,11000000,13906394,880000,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
High School Musical 3: Senior Year,2008,4880100,11000000,90559416,183833464,2008-01-01,Contemporary Fiction,Based on TV,Live Action,Musical,1,
Inside Llewyn Davis,2012,184960100,11000000,13248209,19695038,2012-01-01,Historical Fiction,Based on Factual Book/Article,Live Action,Drama,0,104
Romance and Cigarettes,2007,66440100,11000000,551002,2680249,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Saw VI,2009,109520100,11000000,27693292,42059110,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,
Brooklyn,2014,220510100,11000000,38273392,21979924,2014-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,113
Jackass: Number Two,2006,6660100,11000000,72778712,12500000,2006-01-01,Factual,Based on TV,Live Action,Comedy,1,
The Guru,2003,51910100,11000000,3051221,21099329,2003-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
St. Trinian's,2007,117390100,11400000,15000,29815239,2007-01-01,Contemporary Fiction,Remake,Live Action,Comedy,0,
Running With Scissors,2006,42860100,12000000,6860000,1846701,2006-01-01,Dramatization,Based on Fiction Book/Short Story,Live Action,Comedy,0,
2046,2005,131290100,12000000,1442337,17845147,2005-01-01,Science Fiction,Original Screenplay,Live Action,Drama,0,
Heaven is for Real,2013,191180100,12000000,91386097,9533014,2013-01-01,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,100
5 Days of War,2011,163750100,12000000,17479,70314,2011-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,113
Trash,2014,217960100,12000000,17484,6535702,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0,113
Girl with a Pearl Earring,2003,34740100,12000000,11634362,31647190,2003-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Arbitrage,2011,170980100,12000000,7919574,27911139,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,100
Rachel Getting Married,2008,33280100,12000000,12796861,4678614,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,113
Nebraska,2013,191160100,12000000,17654912,7106448,2013-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,114
Sorority Boys,2002,36900100,12000000,10198766,2317456,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
House of Flying Daggers,2004,35560100,12000000,11050094,81813851,2004-01-01,Historical Fiction,Original Screenplay,Live Action,Action,0,
Young Adult,2011,143410100,12000000,16311571,6438785,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,94
Quarantine,2008,17940100,12000000,31691811,10232963,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,89
Project Almanac,2013,191170100,12000000,22348241,9900000,2013-01-01,Science Fiction,Original Screenplay,Live Action,Adventure,0,106
Paper Towns,2015,212140100,12000000,32000304,53511996,2015-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,109
For Greater Glory,2012,174220100,12000000,5669081,4357174,2012-01-01,Dramatization,Based on Real Life Events,Live Action,Action,0,143
Charlie Bartlett,2008,49470100,12000000,3950294,1345615,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,97
Nanjing! Nanjing!,2009,153060100,12000000,122558,20000000,2009-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,135
How High,2001,18270100,12000000,31155435,66960,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
In the Cut,2003,47210100,12000000,4717455,18976191,2003-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,
Gwoemul,2007,54910100,12000000,2201923,90416194,2007-01-01,Science Fiction,Original Screenplay,Live Action,Action,0,119
Crank,2006,19850100,12000000,27838408,16086515,2006-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,
Chronicle,2011,160260100,12000000,64575175,59106615,2011-01-01,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,106
Top Five,2014,212890100,12000000,25317379,197469,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,101
One Hour Photo,2002,18020100,12000000,31597131,20626175,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Trade,2007,74830100,12000000,214202,1299186,2007-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
The Upside of Anger,2005,26450100,12000000,18761993,10153768,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Just Wright,2009,135280100,12000000,21524012,327302,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,
Johnson Family Vacation,2004,18240100,12000000,31203964,82795,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Ondine,2009,134650100,12000000,550472,7073,2009-01-01,,,,,0,
Harold & Kumar Escape from Guantanamo Bay,2008,14760100,12000000,38108728,5244389,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,
Step Up,2006,7780100,12000000,65328121,45661036,2006-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,103
Barbershop,2002,6320100,12000000,75781642,1281819,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Philomena,2013,198260100,12000000,37709979,61253413,2013-01-01,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama,0,97
Project X,2011,152930100,12000000,54731865,48296323,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,87
Life Before Her Eyes,2008,71530100,12000000,303439,6900000,2008-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Frida,2002,20890100,12000000,25885000,30246239,2002-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
Think Like a Man,2012,161370100,12000000,91547205,21826559,2012-01-01,Contemporary Fiction,Based on Factual Book/Article,Live Action,Romantic Comedy,0,122
Aquamarine,2006,130540100,12000000,18595716,4381611,2006-01-01,Fantasy,Based on Fiction Book/Short Story,Live Action,Comedy,0,
Duma,2005,62950100,12000000,860002,124723,2005-01-01,,Based on Fiction Book/Short Story,Live Action,Adventure,0,
About Time,2013,179780100,12000000,15323921,73853565,2013-01-01,Science Fiction,Original Screenplay,Live Action,Romantic Comedy,0,123
Katy Perry: Part of Me,2012,174660100,12000000,25326071,7374368,2012-01-01,Factual,Based on Real Life Events,Live Action,Concert/Performance,0,95
La grande bellezza,2013,200070100,12000000,2883879,26665266,2013-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,142
Crossroads,2002,15200100,12000000,37188667,19811333,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Two Lovers,2009,51570100,12000000,3149034,13200000,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
San qiang pai an jing qi,2009,139470100,12000000,190946,120000,2009-01-01,Contemporary Fiction,Remake,Live Action,Drama,0,95
My Baby's Daddy,2004,27720100,12000000,17321573,639,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
The Eye,2008,18120100,12000000,31418697,26159068,2008-01-01,Fantasy,Remake,Live Action,Thriller/Suspense,0,97
Darling Companion,2010,150480100,12000000,793352,406994,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,103
Stoker,2011,141810100,12000000,1703125,10376183,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,100
The Fault in Our Stars,2014,198430100,12000000,124872350,178700000,2014-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,125
Act of Valor,2011,162830100,12000000,70012847,12484188,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,101
Company Man,2001,77700100,12000000,146028,476245,2001-01-01,Historical Fiction,Original Screenplay,Live Action,Comedy,0,86
Sorority Row,2009,37980100,12500000,11965282,14770515,2009-01-01,Contemporary Fiction,Remake,Live Action,Horror,0,
The Boy in the Striped Pajamas,2008,38710100,12500000,9046156,35037247,2008-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Ernest et Celestine,2012,180410100,12500000,292562,9083882,2012-01-01,Kids Fiction,Based on Fiction Book/Short Story,Hand Animation,Adventure,0,0
Casino Jack,2010,148100100,12500000,2039869,232317,2010-01-01,Historical Fiction,Based on Real Life Events,Live Action,Thriller/Suspense,0,108
Tae Guik Gi: The Brotherhood of War,2004,60580100,12500000,1110186,68716522,2004-01-01,Historical Fiction,Original Screenplay,Live Action,Drama,0,
Crocodile Hunter: Collision Course,2002,19550100,12500000,28436931,5000000,2002-01-01,Contemporary Fiction,Based on TV,Live Action,Comedy,0,
Conviction,2010,138880100,12500000,6783129,3335856,2010-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,96
The Emperor's Club,2002,31490100,12500000,14060950,2132763,2002-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Lars and the Real Girl,2007,44640100,12500000,5956480,5320639,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Antwone Fisher,2002,130430100,12500000,21078145,2289441,2002-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,117
Machete,2010,139790100,12500000,26593646,19777324,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,105
The Perfect Game,2009,120480100,12500000,1089445,2841922,2009-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
The Call,2013,185760100,12800000,51872378,17949098,2013-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,96
Two Can Play That Game,2001,23460100,13000000,22235901,155549,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,
Find Me Guilty,2006,60110100,13000000,1173673,1724552,2006-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
The Mist,2007,21050100,13000000,25593755,31595653,2007-01-01,Science Fiction,Based on Fiction Book/Short Story,Live Action,Horror,0,
The Butterfly Effect,2004,9060100,13000000,57924679,37713913,2004-01-01,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Män som hatar kvinnor,2008,104740100,13000000,12749992,96671919,2008-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,
Letters from Iwo Jima,2006,31930100,13000000,13756082,54111916,2006-01-01,Historical Fiction,Based on Real Life Events,Live Action,Drama,0,101
Birthday Girl,2002,46710100,13000000,4919896,3210831,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,
Brothers,2015,236560100,13000000,656688,17200000,2015-01-01,Contemporary Fiction,Remake,Live Action,Action,0,155
Justin Bieber: Never Say Never,2010,151100100,13000000,73013910,26020215,2010-01-01,Factual,Based on Real Life Events,Live Action,Concert/Performance,0,105
Earth to Echo,2013,190390100,13000000,38934842,3239703,2013-01-01,Kids Fiction,Original Screenplay,Animation/Live Action,Adventure,0,89
21 and Over,2013,175330100,13000000,25682380,16513386,2013-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,93
The Astronaut Farmer,2007,35610100,13000000,11003643,137570,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Black Swan,2010,140330100,13000000,106954678,224312032,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,108
Save the Last Dance,2001,4800100,13000000,91038276,31206053,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Infamous,2006,60310100,13000000,1151330,1462387,2006-01-01,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,
"I Love You, Phillip Morris",2010,124320100,13000000,2037459,20976568,2010-01-01,Contemporary Fiction,Based on Real Life Events,Live Action,Comedy,0,100
Attack the Block,2011,153510100,13000000,1024175,5435008,2011-01-01,Fantasy,Original Screenplay,Live Action,Action,0,87
Admission,2012,181990100,13000000,18007317,726349,2012-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,117
St. Vincent,2014,144990100,13000000,44137712,10699522,2014-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,102
Miracles from Heaven,2016,231670100,13000000,59792364,8460993,2016-01-01,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,109
Room,2015,218940100,13000000,14677674,21307731,2015-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,113
The Vatican Tapes,2015,209300100,13000000,1784763,11201426,2015-01-01,Fantasy,Original Screenplay,Live Action,Horror,0,91
Chloe,2010,135540100,13000000,3075255,8755876,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,96
crazy/beautiful,2001,28250100,13000000,16929123,3000000,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
About Last Night,2014,185680100,13000000,48637684,1808176,2014-01-01,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy,0,100
The Perks of Being a Wallflower,2010,150390100,13000000,17742948,15326355,2010-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,103
Ex Machina,2015,210050100,13000000,25440971,11624916,2015-01-01,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,110
Resurrecting the Champ,2007,51520100,13000000,3172382,88173,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,111
This Christmas,2007,11260100,13000000,49121934,611611,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Un Prophète,2009,110660100,13000000,2087720,17822904,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
The Killer Inside Me,2010,138570100,13000000,217277,3400000,2010-01-01,,,Live Action,Drama,0,
No Good Deed,2013,182000100,13200000,52543632,1779578,2013-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,84
Mar adentro,2004,55400100,13300000,2086345,37600000,2004-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
Under the Skin,2013,151720100,13300000,2605039,4615682,2013-01-01,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,108
Far From Heaven,2002,29420100,13500000,15901849,13126065,2002-01-01,Historical Fiction,Original Screenplay,Live Action,Drama,0,
Downfall,2005,45600100,13500000,5501940,88129804,2005-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
The Caveman's Valentine,2001,64730100,13500000,687081,205425,2001-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,105
Seven Psychopaths,2012,174080100,13500000,15024049,18011687,2012-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,109
Brokeback Mountain,2005,5450100,13900000,83043761,93968412,2005-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,134
Les herbes folles,2009,129650100,14000000,403952,1500000,2009-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,
Little Children,2006,45670100,14000000,5463019,8658158,2006-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Catch a Fire,2006,48350100,14000000,4299773,1482425,2006-01-01,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0,
Le Scaphandre et le Papillon,2007,44590100,14000000,5990075,16764397,2007-01-01,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,112
Jonah: A VeggieTales Movie,2002,21090100,14000000,25571351,37428,2002-01-01,Kids Fiction,Based on Religious Text,Digital Animation,Adventure,0,
Jason X,2002,32650100,14000000,12610731,3830243,2002-01-01,Contemporary Fiction,,Live Action,Horror,1,
I Think I Love My Wife,2007,33550100,14000000,12550605,645640,2007-01-01,Contemporary Fiction,Remake,Live Action,Romantic Comedy,0,
The Iron Lady,2011,150540100,14000000,29959436,85632668,2011-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,105
Soul Survivors,2001,51680100,14000000,3100650,1187596,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,
Fun Size ,2012,164810100,14000000,9409538,1757077,2012-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,86
Stomp the Yard,2007,8410100,14000000,61356221,14169497,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Hot Tub Time Machine 2,2013,201330100,14000000,12314651,137950,2013-01-01,Science Fiction,Original Screenplay,Live Action,Comedy,1,93
My Bloody Valentine,2009,10510100,14000000,51545952,51290050,2009-01-01,Contemporary Fiction,Remake,Live Action,Horror,0,101
The Possession,2011,151390100,14000000,49130588,33794476,2011-01-01,Fantasy,Original Screenplay,Live Action,Horror,0,93
Easy Virtue,2009,53310100,14000000,2656784,17880957,2009-01-01,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy,0,
Tyler Perry's Good Deeds,2011,162190100,14000000,35025791,553386,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,111
All About the Benjamins,2002,21220100,14000000,25482931,390214,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Slumdog Millionaire,2008,2110100,14000000,141319928,243199737,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,116
A Perfect Getaway,2009,29770100,14000000,15515460,7300000,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,97
An American Haunting,2006,130560100,14000000,16298046,14145231,2006-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Horror,0,
Bobby,2006,35340100,14000000,11205901,9355005,2006-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
Our Family Wedding,2010,110890100,14000000,20249621,1155265,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Mr. Turner,2014,207150100,14000000,3958546,21228480,2014-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,149
Margaret,2009,125740100,14000000,47185,87787,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,149
Manderlay,2006,83060100,14200000,74205,469101,2006-01-01,Historical Fiction,Original Screenplay,Live Action,Drama,1,
Magic Mike XXL,2015,206440100,14500000,66013057,51800000,2015-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,115
Elle s'appelait Sarah,2010,150920100,14500000,7691700,17788331,2010-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,106
Country Strong,2010,146210100,15000000,20218921,383066,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,120
Boat Trip,2003,39490100,15000000,8586376,6347337,2003-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Midnight Meat Train,2008,83140100,15000000,73548,1516698,2008-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,100
Drive,2011,143000100,15000000,35060689,42994136,2011-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,100
The November Man,2014,204470100,15000000,25018119,9802216,2014-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,108
The Rocker,2008,43500100,15000000,6409528,2357810,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,102
Centurion,2010,113710100,15000000,123570,7761478,2010-01-01,Historical Fiction,Original Screenplay,Live Action,Action,0,97
Scout's Guide to the Zombie Apocalypse,2015,208670100,15000000,3703046,11244197,2015-01-01,Fantasy,Original Screenplay,Live Action,Comedy,0,93
End of Watch,2012,173660100,15000000,41003371,16583235,2012-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,109
The Lizzie McGuire Movie,2003,12980100,15000000,42672630,12800000,2003-01-01,Contemporary Fiction,Based on TV,Live Action,Comedy,0,
The Queen,2006,9460100,15000000,56441711,72444162,2006-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
When a Stranger Calls,2006,11590100,15000000,47860214,19355221,2006-01-01,Contemporary Fiction,Remake,Live Action,Horror,0,
Why Did I Get Married?,2007,9700100,15000000,55204525,729653,2007-01-01,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy,0,
Knockaround Guys,2002,34700100,15000000,11660180,759520,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Promised Land,2011,145500100,15000000,7597898,1702438,2011-01-01,Historical Fiction,Original Screenplay,Live Action,Drama,0,106
Match Point,2005,22780100,15000000,23089926,64900000,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Se jie,2007,47450100,15000000,4604982,61091069,2007-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Mama,2012,162750100,15000000,71628180,76467386,2012-01-01,Fantasy,Based on Short Film,Live Action,Horror,0,109
Not Another Teen Movie,2001,14900100,15000000,37882551,24518792,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,82
Tuck Everlasting,2002,26040100,15000000,19161999,182616,2002-01-01,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Post Grad,2009,43620100,15000000,6380019,181224,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Funny Games,2008,59260100,15000000,1294640,6905487,2008-01-01,Contemporary Fiction,Remake,Live Action,Thriller/Suspense,0,
The Theory of Everything,2014,206120100,15000000,35893537,86254235,2014-01-01,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,123
28 Weeks Later,2007,130270100,15000000,28637507,35593798,2007-01-01,Science Fiction,Original Screenplay,Live Action,Horror,1,
The Man with the Iron Fists,2011,143490100,15000000,15634090,6384898,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,95
De-Lovely,2004,32410100,15000000,13337299,5187197,2004-01-01,Historical Fiction,Based on Real Life Events,Live Action,Drama,0,
Los tres entierros de Melquiades Estrada,2005,46350100,15000000,5027684,8426790,2005-01-01,Historical Fiction,Original Screenplay,Live Action,Drama,0,
Blood and Chocolate,2007,50540100,15000000,3526588,3024722,2007-01-01,Fantasy,Based on Fiction Book/Short Story,Live Action,Horror,0,
Confessions of a Teenage Drama Queen,2004,19100100,15000000,29302097,3787786,2004-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,
Halloween: Resurrection,2002,18620100,15000000,30259652,7400000,2002-01-01,Contemporary Fiction,,Live Action,Horror,1,
The Place Beyond the Pines,2012,181290100,15000000,21403519,25607930,2012-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,140
Metropolis,2002,64910100,15000000,673414,731618,2002-01-01,Science Fiction,Based on Comic/Graphic Novel,Hand Animation,Adventure,0,
Nie yin niang,2015,141280100,15000000,632542,6200000,2015-01-01,Historical Fiction,Remake,Live Action,Drama,0,107
You Will Meet a Tall Dark Stranger,2010,139480100,15000000,3247816,31000000,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,98
Big Fat Liar,2002,11610100,15000000,47811275,4649742,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Flicka,2006,24440100,15000000,21000147,896220,2006-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Mulholland Drive,2001,41890100,15000000,7219578,4700000,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,33030100,15000000,12727025,267175,2008-01-01,Kids Fiction,Based on Short Film,Digital Animation,Comedy,1,
The King’s Speech,2010,143880100,15000000,138797449,292023719,2010-01-01,Dramatization,Original Screenplay,Live Action,Drama,0,118
Because of Winn-Dixie,2005,17420100,15000000,32645546,861443,2005-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,
The Hills Have Eyes II,2007,24580100,15000000,20804166,16662372,2007-01-01,Fantasy,Remake,Live Action,Horror,1,
U2 3D,2008,36870100,15000000,12898847,13271555,2008-01-01,Factual,Based on Real Life Events,Live Action,Concert/Performance,0,
The Hurt Locker,2009,33690100,15000000,17017811,32876412,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,130
Whip It,2009,116050100,15000000,13043363,5812788,2009-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,
Jackass Presents: Bad Grandpa,2013,194760100,15000000,102003019,58900000,2013-01-01,Factual,Based on Real Life Events,Live Action,Comedy,0,92
When the Game Stands Tall,2014,191210100,15000000,30127963,10949,2014-01-01,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama,0,114
Killing Them Softly,2012,174960100,15000000,14945541,24292902,2012-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,97
